close,date,minute
10365.1,2017-08-04,09:59:00
10363.45,2017-08-04,10:00:00
10368.6,2017-08-04,10:01:00
10366.45,2017-08-04,10:02:00
10368.8,2017-08-04,10:03:00
10369.35,2017-08-04,10:04:00
10367.05,2017-08-04,10:05:00
10361.65,2017-08-04,10:06:00
10362.6,2017-08-04,10:07:00
10359.85,2017-08-04,10:08:00
10355.5,2017-08-04,10:09:00
10352.3,2017-08-04,10:10:00
10352.7,2017-08-04,10:11:00
10355.95,2017-08-04,10:12:00
10351.85,2017-08-04,10:13:00
10351.35,2017-08-04,10:14:00
10431.15,2017-08-07,09:15:00
10436.1,2017-08-07,09:16:00
10440.5,2017-08-07,09:17:00
10442.8,2017-08-07,09:18:00
10442.1,2017-08-07,09:19:00
10440.55,2017-08-07,09:20:00
10437.1,2017-08-07,09:21:00
10437.9,2017-08-07,09:22:00
10438.55,2017-08-07,09:23:00
10441.1,2017-08-07,09:24:00
10444.65,2017-08-07,09:25:00
10448.0,2017-08-07,09:26:00
10445.2,2017-08-07,09:27:00
10446.3,2017-08-07,09:28:00
10447.7,2017-08-07,09:29:00
10448.3,2017-08-07,09:30:00
10440.1,2017-08-07,09:31:00
10444.75,2017-08-07,09:32:00
10446.55,2017-08-07,09:33:00
10446.65,2017-08-07,09:34:00
10446.0,2017-08-07,09:35:00
10443.35,2017-08-07,09:36:00
10443.45,2017-08-07,09:37:00
10440.1,2017-08-07,09:38:00
10435.95,2017-08-07,09:39:00
10431.15,2017-08-07,09:40:00
10434.25,2017-08-07,09:41:00
10437.0,2017-08-07,09:42:00
10433.95,2017-08-07,09:43:00
10435.4,2017-08-07,09:44:00
10434.8,2017-08-07,09:45:00
10435.05,2017-08-07,09:46:00
10436.0,2017-08-07,09:47:00
10435.5,2017-08-07,09:48:00
10435.8,2017-08-07,09:49:00
10435.65,2017-08-07,09:50:00
10431.2,2017-08-07,09:51:00
10427.1,2017-08-07,09:52:00
10424.2,2017-08-07,09:53:00
10419.0,2017-08-07,09:54:00
10422.3,2017-08-07,09:55:00
10424.05,2017-08-07,09:56:00
10424.75,2017-08-07,09:57:00
10426.25,2017-08-07,09:58:00
10427.4,2017-08-07,09:59:00
10428.6,2017-08-07,10:00:00
10431.1,2017-08-07,10:01:00
10432.45,2017-08-07,10:02:00
10430.95,2017-08-07,10:03:00
10429.45,2017-08-07,10:04:00
10429.15,2017-08-07,10:05:00
10428.45,2017-08-07,10:06:00
10427.65,2017-08-07,10:07:00
10429.15,2017-08-07,10:08:00
10429.4,2017-08-07,10:09:00
10431.1,2017-08-07,10:10:00
10435.2,2017-08-07,10:11:00
10436.7,2017-08-07,10:12:00
10438.6,2017-08-07,10:13:00
10437.9,2017-08-07,10:14:00
10451.5,2017-08-08,09:15:00
10460.25,2017-08-08,09:16:00
10457.15,2017-08-08,09:17:00
10457.95,2017-08-08,09:18:00
10454.05,2017-08-08,09:19:00
10454.65,2017-08-08,09:20:00
10461.5,2017-08-08,09:21:00
10453.9,2017-08-08,09:22:00
10454.9,2017-08-08,09:23:00
10451.5,2017-08-08,09:24:00
10449.15,2017-08-08,09:25:00
10449.85,2017-08-08,09:26:00
10455.4,2017-08-08,09:27:00
10453.0,2017-08-08,09:28:00
10451.85,2017-08-08,09:29:00
10446.8,2017-08-08,09:30:00
10447.65,2017-08-08,09:31:00
10446.4,2017-08-08,09:32:00
10439.75,2017-08-08,09:33:00
10441.25,2017-08-08,09:34:00
10440.0,2017-08-08,09:35:00
10443.75,2017-08-08,09:36:00
10446.3,2017-08-08,09:37:00
10447.8,2017-08-08,09:38:00
10448.8,2017-08-08,09:39:00
10448.05,2017-08-08,09:40:00
10445.9,2017-08-08,09:41:00
10446.0,2017-08-08,09:42:00
10436.35,2017-08-08,09:43:00
10435.0,2017-08-08,09:44:00
10423.5,2017-08-08,09:45:00
10426.95,2017-08-08,09:46:00
10413.1,2017-08-08,09:47:00
10410.05,2017-08-08,09:48:00
10406.2,2017-08-08,09:49:00
10402.9,2017-08-08,09:50:00
10407.25,2017-08-08,09:51:00
10411.3,2017-08-08,09:52:00
10405.3,2017-08-08,09:53:00
10401.7,2017-08-08,09:54:00
10397.35,2017-08-08,09:55:00
10385.1,2017-08-08,09:56:00
10382.65,2017-08-08,09:57:00
10386.55,2017-08-08,09:58:00
10374.3,2017-08-08,09:59:00
10371.65,2017-08-08,10:00:00
10374.95,2017-08-08,10:01:00
10383.0,2017-08-08,10:02:00
10384.0,2017-08-08,10:03:00
10381.35,2017-08-08,10:04:00
10382.8,2017-08-08,10:05:00
10385.3,2017-08-08,10:06:00
10385.4,2017-08-08,10:07:00
10378.4,2017-08-08,10:08:00
10371.95,2017-08-08,10:09:00
10358.5,2017-08-08,10:10:00
10359.5,2017-08-08,10:11:00
10353.1,2017-08-08,10:12:00
10356.4,2017-08-08,10:13:00
10349.75,2017-08-08,10:14:00
10300.55,2017-08-09,09:15:00
10305.0,2017-08-09,09:16:00
10312.4,2017-08-09,09:17:00
10306.2,2017-08-09,09:18:00
10294.85,2017-08-09,09:19:00
10298.65,2017-08-09,09:20:00
10292.95,2017-08-09,09:21:00
10284.55,2017-08-09,09:22:00
10289.4,2017-08-09,09:23:00
10291.45,2017-08-09,09:24:00
10287.65,2017-08-09,09:25:00
10286.95,2017-08-09,09:26:00
10281.9,2017-08-09,09:27:00
10290.7,2017-08-09,09:28:00
10290.3,2017-08-09,09:29:00
10291.25,2017-08-09,09:30:00
10292.65,2017-08-09,09:31:00
10295.55,2017-08-09,09:32:00
10301.25,2017-08-09,09:33:00
10305.55,2017-08-09,09:34:00
10301.2,2017-08-09,09:35:00
10304.95,2017-08-09,09:36:00
10305.15,2017-08-09,09:37:00
10308.95,2017-08-09,09:38:00
10311.8,2017-08-09,09:39:00
10309.7,2017-08-09,09:40:00
10310.4,2017-08-09,09:41:00
10309.75,2017-08-09,09:42:00
10309.8,2017-08-09,09:43:00
10312.5,2017-08-09,09:44:00
10314.6,2017-08-09,09:45:00
10316.8,2017-08-09,09:46:00
10316.85,2017-08-09,09:47:00
10316.5,2017-08-09,09:48:00
10316.0,2017-08-09,09:49:00
10309.35,2017-08-09,09:50:00
10307.0,2017-08-09,09:51:00
10305.85,2017-08-09,09:52:00
10308.75,2017-08-09,09:53:00
10312.75,2017-08-09,09:54:00
10313.45,2017-08-09,09:55:00
10316.2,2017-08-09,09:56:00
10317.15,2017-08-09,09:57:00
10313.25,2017-08-09,09:58:00
10314.1,2017-08-09,09:59:00
10313.15,2017-08-09,10:00:00
10309.0,2017-08-09,10:01:00
10306.2,2017-08-09,10:02:00
10303.8,2017-08-09,10:03:00
10306.35,2017-08-09,10:04:00
10307.5,2017-08-09,10:05:00
10307.2,2017-08-09,10:06:00
10306.2,2017-08-09,10:07:00
10309.05,2017-08-09,10:08:00
10309.65,2017-08-09,10:09:00
10313.8,2017-08-09,10:10:00
10318.7,2017-08-09,10:11:00
10321.4,2017-08-09,10:12:00
10320.45,2017-08-09,10:13:00
10317.55,2017-08-09,10:14:00
10207.55,2017-08-10,09:15:00
10210.25,2017-08-10,09:16:00
10219.35,2017-08-10,09:17:00
10219.55,2017-08-10,09:18:00
10217.0,2017-08-10,09:19:00
10203.05,2017-08-10,09:20:00
10206.85,2017-08-10,09:21:00
10201.2,2017-08-10,09:22:00
10207.7,2017-08-10,09:23:00
10216.55,2017-08-10,09:24:00
10215.3,2017-08-10,09:25:00
10207.15,2017-08-10,09:26:00
10207.95,2017-08-10,09:27:00
10209.55,2017-08-10,09:28:00
10211.55,2017-08-10,09:29:00
10201.4,2017-08-10,09:30:00
10203.65,2017-08-10,09:31:00
10198.2,2017-08-10,09:32:00
10191.65,2017-08-10,09:33:00
10198.75,2017-08-10,09:34:00
10199.65,2017-08-10,09:35:00
10195.85,2017-08-10,09:36:00
10198.2,2017-08-10,09:37:00
10195.45,2017-08-10,09:38:00
10191.75,2017-08-10,09:39:00
10188.6,2017-08-10,09:40:00
10194.65,2017-08-10,09:41:00
10187.9,2017-08-10,09:42:00
10181.0,2017-08-10,09:43:00
10178.05,2017-08-10,09:44:00
10173.7,2017-08-10,09:45:00
10169.1,2017-08-10,09:46:00
10162.15,2017-08-10,09:47:00
10169.35,2017-08-10,09:48:00
10179.45,2017-08-10,09:49:00
10184.85,2017-08-10,09:50:00
10188.5,2017-08-10,09:51:00
10194.65,2017-08-10,09:52:00
10196.95,2017-08-10,09:53:00
10196.5,2017-08-10,09:54:00
10190.7,2017-08-10,09:55:00
10193.45,2017-08-10,09:56:00
10196.0,2017-08-10,09:57:00
10199.35,2017-08-10,09:58:00
10202.45,2017-08-10,09:59:00
10201.2,2017-08-10,10:00:00
10194.75,2017-08-10,10:01:00
10189.7,2017-08-10,10:02:00
10187.25,2017-08-10,10:03:00
10185.0,2017-08-10,10:04:00
10181.8,2017-08-10,10:05:00
10183.0,2017-08-10,10:06:00
10191.45,2017-08-10,10:07:00
10190.0,2017-08-10,10:08:00
10186.9,2017-08-10,10:09:00
10183.75,2017-08-10,10:10:00
10182.9,2017-08-10,10:11:00
10185.45,2017-08-10,10:12:00
10183.85,2017-08-10,10:13:00
10184.95,2017-08-10,10:14:00
10016.5,2017-08-11,09:15:00
10020.1,2017-08-11,09:16:00
